"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","146","POST /login - Логин с невалидными данными должен вернуть ошибку 400 Логин с невалидным: Неверный пароль","","Tue Nov 11 17:51:22 UTC 2025","passed","Tue Nov 11 17:51:22 UTC 2025","","Проверка эндпоинта POST /login","com.makurea.tests.LoginTests","postLogin_WithInvalidData_ShouldReturnError"
"","109","GET /users - Проверка списка пользователей","","Tue Nov 11 17:51:24 UTC 2025","passed","Tue Nov 11 17:51:24 UTC 2025","","Проверка эндпоинта GET /users","com.makurea.tests.UserTests","getUsers_ShouldReturnListOfUsers"
"","141","Невалидные данные: должна вернуться ошибка 400 Bad Request Невалидный кейс #1: email = """", password = ""gotham123"" → ожидание: Missing email or username","","Tue Nov 11 17:51:23 UTC 2025","passed","Tue Nov 11 17:51:23 UTC 2025","","Проверка эндпоинта POST /api/register","com.makurea.tests.RegisterTest","registration_withInvalidData_ShouldReturn400Error"
"","267","POST /login - Логин с невалидными данными должен вернуть ошибку 400 Логин с невалидным: Неверный email","","Tue Nov 11 17:51:22 UTC 2025","passed","Tue Nov 11 17:51:22 UTC 2025","","Проверка эндпоинта POST /login","com.makurea.tests.LoginTests","postLogin_WithInvalidData_ShouldReturnError"
"","61","GET /users/{id} - Проверка пользователя по id","","Tue Nov 11 17:51:24 UTC 2025","passed","Tue Nov 11 17:51:24 UTC 2025","","Проверка эндпоинта GET /users","com.makurea.tests.UserTests","getUsersForId_ShouldReturnOneUser"
"","147","Успешная регистрация: должен вернуться статус 200 с ID и Token","","Tue Nov 11 17:51:23 UTC 2025","passed","Tue Nov 11 17:51:23 UTC 2025","","Проверка эндпоинта POST /api/register","com.makurea.tests.RegisterTest","registration_withValidCredentials_ShouldReturn200AndToken"
"","2362","POST /login - Успешный логин с валидными данными","","Tue Nov 11 17:51:20 UTC 2025","passed","Tue Nov 11 17:51:22 UTC 2025","","Проверка эндпоинта POST /login","com.makurea.tests.LoginTests","postLogin_ShouldReturnToken"
"","224","Невалидные данные: должна вернуться ошибка 400 Bad Request Невалидный кейс #2: email = ""batman@gotham.com"", password = """" → ожидание: Missing password","","Tue Nov 11 17:51:23 UTC 2025","passed","Tue Nov 11 17:51:23 UTC 2025","","Проверка эндпоинта POST /api/register","com.makurea.tests.RegisterTest","registration_withInvalidData_ShouldReturn400Error"
"","142","POST /login - Логин с невалидными данными должен вернуть ошибку 400 Логин с невалидным: Отсутствует email","","Tue Nov 11 17:51:23 UTC 2025","passed","Tue Nov 11 17:51:23 UTC 2025","","Проверка эндпоинта POST /login","com.makurea.tests.LoginTests","postLogin_WithInvalidData_ShouldReturnError"
"","132","Несуществующий пользователь: должна вернуться ошибка 400 и корректное сообщение","","Tue Nov 11 17:51:23 UTC 2025","passed","Tue Nov 11 17:51:24 UTC 2025","","Проверка эндпоинта POST /api/register","com.makurea.tests.RegisterTest","registration_withInvalidEmail_ShouldReturn400Error"
"","210","Невалидные данные: должна вернуться ошибка 400 Bad Request Невалидный кейс #3: email = """", password = """" → ожидание: Missing email or username","","Tue Nov 11 17:51:23 UTC 2025","passed","Tue Nov 11 17:51:23 UTC 2025","","Проверка эндпоинта POST /api/register","com.makurea.tests.RegisterTest","registration_withInvalidData_ShouldReturn400Error"
